YEAR,MONTH,DAY,LATITUDE,LONGITUDE,OBSERVATION COUNT,IBA CODE,BCR CODE,USFWS CODE,DURATION MINUTES,COUNT
2019,1,1,28.0,-97.0,86,3,6,3,543.0,6.0
2019,1,1,28.0,-96.0,10,0,2,2,240.0,2.0
2019,1,1,28.0,-83.0,82,1,20,0,1692.0,20.0
2019,1,1,28.0,-82.0,140,5,24,0,3666.0,24.0
2019,1,1,28.0,-81.0,58,8,11,2,1521.0,14.0
2019,1,1,29.0,-97.0,138,0,6,0,677.0,6.0
2019,1,1,29.0,-96.0,746,4,75,0,8498.0,75.0
2019,1,1,29.0,-95.0,95,0,8,3,1007.0,8.0
2019,1,1,29.0,-94.0,5,1,1,0,232.0,2.0
2019,1,1,29.0,-91.0,5,0,2,0,166.0,2.0
2019,1,1,29.0,-90.0,5,0,2,0,73.0,2.0
2019,1,1,29.0,-86.0,1,0,0,0,80.0,1.0
2019,1,1,29.0,-83.0,191,1,32,0,3650.0,32.0
2019,1,1,29.0,-82.0,32,1,7,1,823.0,7.0
2019,1,1,29.0,-81.0,6,0,2,0,44.0,2.0
2019,1,1,30.0,-97.0,176,0,14,0,1132.0,14.0
2019,1,1,30.0,-96.0,260,0,31,0,2315.0,31.0
2019,1,1,30.0,-95.0,200,0,9,0,745.0,9.0
2019,1,1,30.0,-94.0,91,0,9,0,1116.0,9.0
2019,1,1,30.0,-93.0,12,0,2,0,236.0,2.0
2019,1,1,30.0,-92.0,123,2,11,0,996.0,11.0
2019,1,1,30.0,-91.0,65,1,9,0,1215.0,9.0
2019,1,1,30.0,-90.0,33,0,7,4,535.0,7.0
2019,1,1,30.0,-89.0,24,0,6,0,242.0,7.0
2019,1,1,30.0,-88.0,23,0,8,0,659.0,8.0
2019,1,1,30.0,-87.0,19,1,1,0,184.0,3.0
2019,1,1,30.0,-86.0,2,0,1,0,40.0,2.0
2019,1,1,30.0,-85.0,114,4,23,4,2254.0,23.0
2019,1,1,30.0,-84.0,8,0,4,0,230.0,4.0
2019,1,1,30.0,-82.0,78,0,15,0,955.0,16.0
2019,1,1,31.0,-96.0,44,0,3,0,872.0,3.0
2019,1,1,31.0,-95.0,130,0,11,0,1707.0,11.0
2019,1,1,31.0,-94.0,18,2,2,0,261.0,2.0
2019,1,1,31.0,-93.0,49,2,5,1,613.0,5.0
2019,1,1,31.0,-92.0,2,1,1,0,50.0,1.0
2019,1,1,31.0,-90.0,27,0,3,0,188.0,3.0
2019,1,1,31.0,-87.0,11,0,3,0,187.0,3.0
2019,1,1,31.0,-86.0,49,2,5,2,662.0,5.0
2019,1,1,31.0,-85.0,16,0,6,0,248.0,6.0
2019,1,1,31.0,-83.0,5,0,1,0,170.0,1.0
2019,1,1,31.0,-82.0,5,0,5,0,450.0,5.0
2019,1,1,32.0,-97.0,50,0,12,0,1350.0,12.0
2019,1,1,32.0,-96.0,43,0,6,0,435.0,6.0
2019,1,1,32.0,-95.0,89,0,4,0,788.0,4.0
2019,1,1,32.0,-94.0,12,0,1,0,36.0,1.0
2019,1,1,32.0,-93.0,62,0,6,2,618.0,6.0
2019,1,1,32.0,-91.0,9,0,2,0,76.0,2.0
2019,1,1,32.0,-90.0,6,1,1,0,30.0,1.0
2019,1,1,32.0,-88.0,2,0,1,0,135.0,1.0
2019,1,1,32.0,-86.0,74,1,9,0,871.0,9.0
2019,1,1,32.0,-85.0,7,0,1,0,300.0,1.0
2019,1,1,32.0,-84.0,18,0,9,0,734.0,9.0
2019,1,1,32.0,-82.0,10,0,4,0,214.0,4.0
2019,1,1,32.0,-81.0,69,5,17,1,1483.0,17.0
2019,1,1,32.0,-80.0,66,0,10,0,646.0,10.0
2019,1,1,33.0,-97.0,109,0,12,2,1228.0,12.0
2019,1,1,33.0,-96.0,13,0,2,0,50.0,2.0
2019,1,1,33.0,-95.0,54,0,4,0,360.0,4.0
2019,1,1,33.0,-89.0,61,3,12,3,681.0,12.0
2019,1,1,33.0,-88.0,10,0,1,0,20.0,1.0
2019,1,1,33.0,-87.0,60,0,15,0,1542.0,15.0
2019,1,1,33.0,-86.0,5,0,3,0,130.0,3.0
2019,1,1,33.0,-85.0,120,0,44,0,2226.0,44.0
2019,1,1,33.0,-84.0,28,2,12,1,996.0,12.0
2019,1,1,33.0,-83.0,1,0,1,0,8.0,1.0
2019,1,1,33.0,-82.0,24,0,5,0,560.0,5.0
2019,1,1,33.0,-81.0,35,1,4,0,450.0,4.0
2019,1,1,33.0,-79.0,2,0,2,0,84.0,2.0
2019,1,1,34.0,-97.0,216,0,6,1,325.0,6.0
2019,1,1,34.0,-96.0,20,0,2,0,145.0,2.0
2019,1,1,34.0,-94.0,8,0,2,0,10.0,2.0
2019,1,1,34.0,-93.0,85,0,12,0,883.0,12.0
2019,1,1,34.0,-90.0,13,1,3,0,196.0,3.0
2019,1,1,34.0,-89.0,8,0,4,0,186.0,4.0
2019,1,1,34.0,-88.0,6,0,4,0,236.0,4.0
2019,1,1,34.0,-87.0,7,1,5,0,285.0,5.0
2019,1,1,34.0,-86.0,10,0,3,0,140.0,3.0
2019,1,1,34.0,-85.0,101,0,29,0,1745.0,29.0
2019,1,1,34.0,-84.0,8,0,4,0,283.0,4.0
2019,1,1,34.0,-83.0,47,0,16,0,1482.0,16.0
2019,1,1,34.0,-82.0,3,0,2,0,130.0,2.0
2019,1,1,34.0,-81.0,41,0,4,0,149.0,4.0
2019,1,1,34.0,-79.0,6,0,2,0,95.0,2.0
2019,1,1,34.0,-78.0,2,0,1,0,103.0,1.0
2019,1,1,34.0,-77.0,1,0,1,0,46.0,1.0
2019,1,1,35.0,-96.0,9,0,2,1,204.0,2.0
2019,1,1,35.0,-94.0,294,3,9,0,1825.0,9.0
2019,1,1,35.0,-93.0,2,0,2,0,20.0,2.0
2019,1,1,35.0,-92.0,55,0,5,0,466.0,5.0
2019,1,1,35.0,-91.0,1,0,1,0,56.0,1.0
2019,1,1,35.0,-90.0,23,0,4,0,651.0,4.0
2019,1,1,35.0,-89.0,2,0,1,0,10.0,1.0
2019,1,1,35.0,-88.0,12,1,4,0,201.0,4.0
2019,1,1,35.0,-87.0,34,0,9,0,615.0,9.0
2019,1,1,35.0,-86.0,42,0,15,0,1571.0,15.0
2019,1,1,35.0,-85.0,94,2,29,0,2405.0,29.0
2019,1,1,35.0,-84.0,37,0,11,0,1218.0,11.0
2019,1,1,35.0,-83.0,75,0,19,0,1388.0,19.0
2019,1,1,35.0,-82.0,13,0,4,0,438.0,4.0
2019,1,1,35.0,-81.0,75,1,30,0,1935.0,30.0
2019,1,1,35.0,-80.0,23,4,11,0,946.0,11.0
2019,1,1,35.0,-79.0,114,1,30,0,2286.0,30.0
2019,1,1,35.0,-78.0,1,0,1,0,65.0,1.0
2019,1,1,35.0,-77.0,24,1,3,1,645.0,5.0
2019,1,1,36.0,-97.0,64,0,3,0,788.0,3.0
2019,1,1,36.0,-96.0,41,0,7,0,468.0,7.0
2019,1,1,36.0,-95.0,10,0,3,0,178.0,3.0
2019,1,1,36.0,-94.0,77,0,5,0,645.0,5.0
2019,1,1,36.0,-91.0,25,3,3,3,428.0,3.0
2019,1,1,36.0,-89.0,9,0,2,0,176.0,2.0
2019,1,1,36.0,-88.0,131,0,17,0,903.0,17.0
2019,1,1,36.0,-87.0,44,0,9,0,803.0,9.0
2019,1,1,36.0,-86.0,2,0,1,0,28.0,1.0
2019,1,1,36.0,-85.0,7,0,2,0,57.0,2.0
2019,1,1,36.0,-84.0,19,0,5,0,305.0,5.0
2019,1,1,36.0,-83.0,15,0,5,0,237.0,5.0
2019,1,1,36.0,-82.0,81,0,9,0,707.0,9.0
2019,1,1,36.0,-81.0,31,0,9,0,629.0,9.0
2019,1,1,36.0,-80.0,84,0,16,0,1418.0,16.0
2019,1,1,36.0,-79.0,2,0,2,0,280.0,2.0
2019,1,1,36.0,-77.0,35,2,13,0,957.0,14.0
2019,1,1,36.0,-76.0,5,0,2,0,94.0,2.0
2019,1,1,37.0,-97.0,22,0,2,0,110.0,2.0
2019,1,1,37.0,-96.0,32,0,4,0,172.0,4.0
2019,1,1,37.0,-94.0,38,0,5,0,232.0,5.0
2019,1,1,37.0,-93.0,13,0,1,0,23.0,1.0
2019,1,1,37.0,-92.0,30,2,6,0,510.0,6.0
2019,1,1,37.0,-91.0,28,2,3,0,168.0,3.0
2019,1,1,37.0,-90.0,148,0,12,0,1171.0,12.0
2019,1,1,37.0,-89.0,19,0,3,0,111.0,3.0
2019,1,1,37.0,-88.0,16,0,6,0,400.0,6.0
2019,1,1,37.0,-86.0,17,0,3,0,95.0,3.0
2019,1,1,37.0,-85.0,78,0,13,0,890.0,13.0
2019,1,1,37.0,-82.0,1,0,1,0,15.0,1.0
2019,1,1,37.0,-81.0,24,0,9,0,303.0,9.0
2019,1,1,37.0,-80.0,49,0,13,0,726.0,13.0
2019,1,1,37.0,-79.0,18,0,5,0,263.0,5.0
2019,1,1,37.0,-78.0,35,0,14,0,1138.0,14.0
2019,1,1,37.0,-77.0,78,0,16,0,1236.0,16.0
2019,1,1,37.0,-76.0,56,3,8,2,665.0,9.0
2019,1,1,38.0,-97.0,2,0,1,0,90.0,1.0
2019,1,1,38.0,-96.0,55,0,6,0,286.0,6.0
2019,1,1,38.0,-95.0,278,0,29,0,1665.0,29.0
2019,1,1,38.0,-94.0,3,0,1,0,69.0,1.0
2019,1,1,38.0,-93.0,55,1,16,0,816.0,16.0
2019,1,1,38.0,-92.0,11,0,2,0,124.0,2.0
2019,1,1,38.0,-91.0,393,13,40,1,6974.0,40.0
2019,1,1,38.0,-90.0,55,0,4,0,391.0,4.0
2019,1,1,38.0,-89.0,1,0,1,0,60.0,1.0
2019,1,1,38.0,-88.0,66,5,17,2,1675.0,17.0
2019,1,1,38.0,-87.0,36,0,7,0,1107.0,7.0
2019,1,1,38.0,-86.0,73,4,20,3,3012.0,20.0
2019,1,1,38.0,-85.0,24,0,6,0,800.0,6.0
2019,1,1,38.0,-83.0,92,2,11,0,789.0,11.0
2019,1,1,38.0,-82.0,10,0,1,0,300.0,1.0
2019,1,1,38.0,-81.0,5,0,2,0,50.0,2.0
2019,1,1,38.0,-80.0,85,0,14,0,1147.0,14.0
2019,1,1,38.0,-79.0,93,1,28,0,1233.0,28.0
2019,1,1,38.0,-78.0,165,10,62,2,4021.0,65.0
2019,1,1,38.0,-77.0,114,5,34,0,3597.0,41.0
2019,1,1,38.0,-76.0,72,6,15,2,1231.0,16.0
2019,1,1,38.0,-75.0,46,13,28,0,2417.0,28.0
2019,1,1,39.0,-97.0,25,2,5,0,412.0,5.0
2019,1,1,39.0,-96.0,84,0,10,0,822.0,10.0
2019,1,1,39.0,-95.0,152,1,22,0,976.0,22.0
2019,1,1,39.0,-94.0,6,1,1,0,135.0,1.0
2019,1,1,39.0,-93.0,85,0,1,0,149.0,1.0
2019,1,1,39.0,-92.0,31,0,6,0,120.0,6.0
2019,1,1,39.0,-91.0,9,1,1,0,135.0,1.0
2019,1,1,39.0,-90.0,72,0,10,0,672.0,10.0
2019,1,1,39.0,-89.0,10,0,4,0,227.0,4.0
2019,1,1,39.0,-88.0,9,0,3,0,381.0,3.0
2019,1,1,39.0,-87.0,153,11,37,0,2284.0,37.0
2019,1,1,39.0,-86.0,15,0,7,0,860.0,7.0
2019,1,1,39.0,-85.0,173,10,57,0,5235.0,57.0
2019,1,1,39.0,-84.0,16,3,4,0,240.0,4.0
2019,1,1,39.0,-83.0,60,0,16,0,1580.0,16.0
2019,1,1,39.0,-82.0,24,0,6,0,440.0,6.0
2019,1,1,39.0,-81.0,7,0,4,0,129.0,4.0
2019,1,1,39.0,-80.0,71,0,7,0,696.0,7.0
2019,1,1,39.0,-79.0,22,0,5,0,270.0,5.0
2019,1,1,39.0,-78.0,181,5,50,0,3419.0,50.0
2019,1,1,39.0,-77.0,317,7,70,2,7581.0,73.0
2019,1,1,39.0,-76.0,245,25,55,9,4675.0,55.0
2019,1,1,39.0,-75.0,141,2,27,4,2076.0,27.0
2019,1,1,40.0,-97.0,30,0,6,0,369.0,6.0
2019,1,1,40.0,-96.0,3,0,1,0,120.0,1.0
2019,1,1,40.0,-93.0,26,1,2,0,28.0,2.0
2019,1,1,40.0,-92.0,15,0,2,0,115.0,2.0
2019,1,1,40.0,-91.0,4,0,2,0,75.0,2.0
2019,1,1,40.0,-90.0,12,0,2,0,102.0,2.0
2019,1,1,40.0,-89.0,28,2,7,0,485.0,7.0
2019,1,1,40.0,-88.0,77,4,11,0,1254.0,11.0
2019,1,1,40.0,-87.0,44,0,13,0,1523.0,13.0
2019,1,1,40.0,-86.0,49,0,15,0,1008.0,15.0
2019,1,1,40.0,-85.0,6,0,2,0,141.0,2.0
2019,1,1,40.0,-84.0,52,4,18,0,1460.0,18.0
2019,1,1,40.0,-83.0,59,6,20,0,1244.0,20.0
2019,1,1,40.0,-82.0,80,2,17,0,852.0,17.0
2019,1,1,40.0,-81.0,55,0,16,0,1257.0,16.0
2019,1,1,40.0,-80.0,164,2,17,0,1210.0,17.0
2019,1,1,40.0,-79.0,40,3,14,0,770.0,14.0
2019,1,1,40.0,-78.0,61,1,22,0,1492.0,22.0
2019,1,1,40.0,-77.0,166,5,46,0,3700.0,46.0
2019,1,1,40.0,-76.0,171,9,61,0,5260.0,61.0
2019,1,1,40.0,-75.0,155,11,55,2,4497.0,57.0
2019,1,1,40.0,-74.0,336,53,74,0,10746.0,80.0
2019,1,1,40.0,-73.0,21,2,8,0,854.0,8.0
2019,1,1,41.0,-97.0,53,0,4,0,872.0,4.0
2019,1,1,41.0,-96.0,20,0,3,0,35.0,3.0
2019,1,1,41.0,-95.0,65,0,6,0,120.0,6.0
2019,1,1,41.0,-94.0,47,0,11,0,197.0,11.0
2019,1,1,41.0,-93.0,1,0,1,0,240.0,1.0
2019,1,1,41.0,-92.0,10,1,7,0,608.0,7.0
2019,1,1,41.0,-91.0,24,0,7,0,254.0,7.0
2019,1,1,41.0,-90.0,12,0,1,0,555.0,1.0
2019,1,1,41.0,-89.0,164,0,37,0,2191.0,37.0
2019,1,1,41.0,-88.0,215,11,32,0,2633.0,43.0
2019,1,1,41.0,-87.0,66,6,17,0,1645.0,17.0
2019,1,1,41.0,-86.0,82,2,23,0,1811.0,23.0
2019,1,1,41.0,-85.0,31,1,6,0,187.0,6.0
2019,1,1,41.0,-84.0,104,7,19,2,1387.0,19.0
2019,1,1,41.0,-83.0,82,13,9,0,891.0,16.0
2019,1,1,41.0,-82.0,335,35,57,0,6678.0,66.0
2019,1,1,41.0,-81.0,176,3,10,0,658.0,10.0
2019,1,1,41.0,-80.0,36,0,4,0,310.0,4.0
2019,1,1,41.0,-79.0,6,0,1,0,120.0,1.0
2019,1,1,41.0,-78.0,24,4,12,0,1061.0,12.0
2019,1,1,41.0,-77.0,58,0,9,0,1188.0,9.0
2019,1,1,41.0,-76.0,49,0,5,0,303.0,5.0
2019,1,1,41.0,-75.0,175,10,40,2,3515.0,40.0
2019,1,1,41.0,-74.0,207,5,46,1,3402.0,49.0
2019,1,1,41.0,-73.0,185,0,56,0,5569.0,56.0
2019,1,1,41.0,-72.0,156,3,23,0,1406.0,23.0
2019,1,1,41.0,-71.0,221,3,42,0,3202.0,44.0
2019,1,1,41.0,-70.0,35,2,7,0,421.0,8.0
2019,1,1,42.0,-97.0,15,0,3,0,121.0,3.0
2019,1,1,42.0,-96.0,30,0,1,0,29.0,1.0
2019,1,1,42.0,-95.0,7,0,1,0,30.0,1.0
2019,1,1,42.0,-93.0,7,1,3,0,145.0,3.0
2019,1,1,42.0,-92.0,1,0,1,0,120.0,1.0
2019,1,1,42.0,-91.0,84,2,16,2,1159.0,16.0
2019,1,1,42.0,-90.0,64,0,8,0,1102.0,8.0
2019,1,1,42.0,-89.0,120,3,20,0,1249.0,20.0
2019,1,1,42.0,-88.0,215,3,31,0,2787.0,31.0
2019,1,1,42.0,-87.0,27,1,12,0,467.0,12.0
2019,1,1,42.0,-86.0,388,0,72,0,4096.0,72.0
2019,1,1,42.0,-85.0,144,1,25,0,859.0,25.0
2019,1,1,42.0,-84.0,377,3,72,0,6339.0,84.0
2019,1,1,42.0,-83.0,266,9,30,0,5180.0,35.0
2019,1,1,42.0,-82.0,76,2,18,0,1254.0,18.0
2019,1,1,42.0,-81.0,69,8,19,0,806.0,20.0
2019,1,1,42.0,-80.0,13,1,6,0,184.0,6.0
2019,1,1,42.0,-79.0,67,2,11,0,546.0,11.0
2019,1,1,42.0,-78.0,109,0,15,0,897.0,15.0
2019,1,1,42.0,-77.0,250,0,60,0,4874.0,60.0
2019,1,1,42.0,-76.0,30,0,4,0,383.0,4.0
2019,1,1,42.0,-75.0,67,0,11,0,1040.0,11.0
2019,1,1,42.0,-74.0,146,0,28,0,2030.0,28.0
2019,1,1,42.0,-73.0,156,5,25,1,2664.0,25.0
2019,1,1,42.0,-72.0,517,14,101,2,6413.0,102.0
2019,1,1,42.0,-71.0,212,14,39,3,3656.0,42.0
2019,1,1,43.0,-97.0,8,0,3,0,60.0,3.0
2019,1,1,43.0,-93.0,2,0,2,0,60.0,2.0
2019,1,1,43.0,-92.0,15,1,6,1,213.0,6.0
2019,1,1,43.0,-91.0,76,3,9,0,331.0,9.0
2019,1,1,43.0,-90.0,132,5,39,0,2495.0,39.0
2019,1,1,43.0,-89.0,151,0,24,0,2937.0,24.0
2019,1,1,43.0,-88.0,43,1,11,0,419.0,11.0
2019,1,1,43.0,-87.0,111,0,14,0,1260.0,14.0
2019,1,1,43.0,-86.0,30,2,6,0,194.0,6.0
2019,1,1,43.0,-85.0,161,9,24,0,1020.0,24.0
2019,1,1,43.0,-84.0,64,1,13,0,750.0,13.0
2019,1,1,43.0,-83.0,12,0,1,0,355.0,2.0
2019,1,1,43.0,-82.0,98,0,9,0,343.0,9.0
2019,1,1,43.0,-81.0,328,1,39,0,2344.0,39.0
2019,1,1,43.0,-80.0,277,19,47,0,4105.0,49.0
2019,1,1,43.0,-79.0,53,0,9,0,450.0,9.0
2019,1,1,43.0,-78.0,154,3,31,0,1686.0,31.0
2019,1,1,43.0,-77.0,67,0,11,0,1057.0,11.0
2019,1,1,43.0,-76.0,39,0,17,0,531.0,17.0
2019,1,1,43.0,-75.0,15,0,2,0,377.0,2.0
2019,1,1,43.0,-74.0,58,0,15,0,1227.0,15.0
2019,1,1,43.0,-73.0,83,0,17,0,1207.0,17.0
2019,1,1,43.0,-72.0,18,1,5,0,335.0,5.0
2019,1,1,43.0,-71.0,206,0,30,0,1894.0,37.0
2019,1,1,43.0,-70.0,9,0,4,0,102.0,4.0
2019,1,1,44.0,-97.0,37,0,6,0,378.0,6.0
2019,1,1,44.0,-96.0,12,2,3,0,260.0,3.0
2019,1,1,44.0,-95.0,4,0,1,0,36.0,1.0
2019,1,1,44.0,-94.0,139,4,33,3,2690.0,33.0
2019,1,1,44.0,-93.0,95,10,20,0,1497.0,20.0
2019,1,1,44.0,-92.0,76,1,10,0,764.0,10.0
2019,1,1,44.0,-91.0,12,1,2,0,32.0,2.0
2019,1,1,44.0,-90.0,35,1,12,0,983.0,12.0
2019,1,1,44.0,-89.0,59,4,15,0,1558.0,15.0
2019,1,1,44.0,-88.0,141,4,12,0,970.0,12.0
2019,1,1,44.0,-87.0,25,0,3,0,315.0,3.0
2019,1,1,44.0,-86.0,162,8,13,0,1271.0,13.0
2019,1,1,44.0,-85.0,36,1,4,0,1330.0,4.0
2019,1,1,44.0,-84.0,157,1,10,0,628.0,11.0
2019,1,1,44.0,-82.0,8,0,3,0,215.0,3.0
2019,1,1,44.0,-81.0,40,0,2,0,75.0,2.0
2019,1,1,44.0,-80.0,64,0,9,0,737.0,10.0
2019,1,1,44.0,-79.0,136,0,18,0,1408.0,18.0
2019,1,1,44.0,-78.0,10,0,3,0,103.0,3.0
2019,1,1,44.0,-77.0,101,2,11,0,1270.0,14.0
2019,1,1,44.0,-76.0,6,0,1,0,20.0,1.0
2019,1,1,44.0,-75.0,16,0,2,0,430.0,3.0
2019,1,1,44.0,-74.0,43,0,10,0,568.0,10.0
2019,1,1,44.0,-73.0,69,0,7,0,642.0,7.0
2019,1,1,44.0,-72.0,2,0,1,0,45.0,1.0
2019,1,1,44.0,-71.0,2,0,2,0,80.0,2.0
2019,1,1,44.0,-70.0,124,0,11,0,635.0,11.0
2019,1,1,44.0,-69.0,108,0,9,0,654.0,11.0
2019,1,1,45.0,-97.0,13,0,1,0,120.0,1.0
2019,1,1,45.0,-96.0,11,0,3,0,423.0,3.0
2019,1,1,45.0,-95.0,19,0,4,0,642.0,4.0
2019,1,1,45.0,-94.0,99,3,21,0,1476.0,21.0
2019,1,1,45.0,-93.0,90,0,13,0,1355.0,13.0
2019,1,1,45.0,-92.0,75,0,8,0,333.0,8.0
2019,1,1,45.0,-91.0,73,0,4,0,1476.0,4.0
2019,1,1,45.0,-90.0,64,1,8,0,447.0,8.0
2019,1,1,45.0,-89.0,3,0,1,0,31.0,1.0
2019,1,1,45.0,-88.0,31,0,3,0,194.0,4.0
2019,1,1,45.0,-86.0,12,1,1,0,20.0,1.0
2019,1,1,45.0,-85.0,40,0,1,0,180.0,1.0
2019,1,1,45.0,-81.0,3,0,1,0,15.0,1.0
2019,1,1,45.0,-80.0,3,0,1,0,22.0,1.0
2019,1,1,45.0,-79.0,5,0,1,0,20.0,1.0
2019,1,1,45.0,-77.0,16,1,7,0,555.0,7.0
2019,1,1,45.0,-76.0,158,10,26,0,1040.0,26.0
2019,1,1,45.0,-75.0,74,0,10,0,845.0,12.0
2019,1,1,45.0,-74.0,171,1,26,0,2034.0,29.0
2019,1,1,45.0,-73.0,16,0,4,0,379.0,4.0
2019,1,1,45.0,-72.0,5,0,1,0,180.0,1.0
2019,1,1,45.0,-69.0,1,0,1,0,60.0,1.0
2019,1,1,46.0,-97.0,12,0,1,0,142.0,1.0
2019,1,1,46.0,-96.0,65,0,1,1,150.0,1.0
2019,1,1,46.0,-95.0,23,0,5,0,805.0,5.0
