YEAR,MONTH,DAY,LATITUDE,LONGITUDE,OBSERVATION COUNT,IBA CODE,BCR CODE,USFWS CODE,DURATION MINUTES,COUNT
2019,1,1,29.0,-97.0,4,0,1,0,3.0,1.0
2019,1,1,29.0,-96.0,7,0,4,0,598.0,4.0
2019,1,1,29.0,-83.0,1,0,1,0,112.0,1.0
2019,1,1,30.0,-97.0,30,0,6,0,611.0,6.0
2019,1,1,30.0,-96.0,13,0,4,0,433.0,4.0
2019,1,1,30.0,-95.0,1,0,1,0,140.0,1.0
2019,1,1,30.0,-94.0,6,0,2,0,95.0,2.0
2019,1,1,30.0,-92.0,21,1,2,0,120.0,2.0
2019,1,1,30.0,-91.0,7,0,2,0,303.0,2.0
2019,1,1,30.0,-89.0,2,0,1,0,45.0,1.0
2019,1,1,30.0,-84.0,1,0,1,0,180.0,1.0
2019,1,1,31.0,-96.0,38,0,3,0,872.0,3.0
2019,1,1,31.0,-95.0,53,0,6,0,1298.0,6.0
2019,1,1,31.0,-94.0,46,2,2,0,311.0,2.0
2019,1,1,31.0,-93.0,2,1,2,1,313.0,2.0
2019,1,1,31.0,-92.0,2,0,1,0,97.0,1.0
2019,1,1,31.0,-91.0,4,0,1,0,70.0,1.0
2019,1,1,31.0,-90.0,3,0,2,0,120.0,2.0
2019,1,1,31.0,-87.0,3,0,1,0,36.0,1.0
2019,1,1,31.0,-82.0,4,0,4,0,481.0,4.0
2019,1,1,32.0,-97.0,208,0,21,0,2162.0,21.0
2019,1,1,32.0,-96.0,155,0,9,0,535.0,9.0
2019,1,1,32.0,-95.0,36,0,3,0,698.0,3.0
2019,1,1,32.0,-94.0,30,0,4,1,173.0,4.0
2019,1,1,32.0,-93.0,7,0,4,0,439.0,4.0
2019,1,1,32.0,-91.0,2,0,1,0,11.0,1.0
2019,1,1,32.0,-90.0,2,1,1,0,30.0,1.0
2019,1,1,32.0,-86.0,13,1,2,0,543.0,2.0
2019,1,1,32.0,-81.0,2,0,2,0,142.0,2.0
2019,1,1,33.0,-97.0,192,0,17,2,1101.0,17.0
2019,1,1,33.0,-96.0,42,0,4,0,360.0,4.0
2019,1,1,33.0,-95.0,18,0,5,0,400.0,5.0
2019,1,1,33.0,-93.0,4,0,1,0,26.0,1.0
2019,1,1,33.0,-92.0,4,0,1,0,95.0,1.0
2019,1,1,33.0,-89.0,42,0,5,0,346.0,5.0
2019,1,1,33.0,-88.0,3,0,1,0,20.0,1.0
2019,1,1,33.0,-87.0,22,0,7,0,645.0,7.0
2019,1,1,33.0,-86.0,2,0,2,0,138.0,2.0
2019,1,1,33.0,-85.0,49,0,14,0,732.0,14.0
2019,1,1,33.0,-84.0,10,0,3,0,219.0,3.0
2019,1,1,33.0,-82.0,5,0,3,0,444.0,3.0
2019,1,1,33.0,-81.0,4,0,3,0,285.0,3.0
2019,1,1,34.0,-97.0,53,0,4,1,250.0,4.0
2019,1,1,34.0,-96.0,34,0,2,0,145.0,2.0
2019,1,1,34.0,-94.0,44,0,3,0,278.0,3.0
2019,1,1,34.0,-93.0,122,0,19,0,1244.0,19.0
2019,1,1,34.0,-90.0,21,1,3,0,196.0,3.0
2019,1,1,34.0,-89.0,18,0,4,0,169.0,4.0
2019,1,1,34.0,-88.0,6,0,2,0,176.0,2.0
2019,1,1,34.0,-87.0,8,0,4,0,376.0,4.0
2019,1,1,34.0,-86.0,7,0,1,0,31.0,1.0
2019,1,1,34.0,-85.0,25,0,9,0,968.0,9.0
2019,1,1,34.0,-84.0,14,0,2,0,199.0,2.0
2019,1,1,34.0,-83.0,39,0,9,0,749.0,9.0
2019,1,1,34.0,-82.0,11,0,5,0,526.0,5.0
2019,1,1,34.0,-81.0,6,0,3,0,78.0,3.0
2019,1,1,35.0,-97.0,5,0,1,0,10.0,1.0
2019,1,1,35.0,-96.0,92,0,5,0,311.0,5.0
2019,1,1,35.0,-95.0,16,0,2,0,33.0,2.0
2019,1,1,35.0,-94.0,391,3,13,0,2249.0,13.0
2019,1,1,35.0,-93.0,7,0,3,0,39.0,3.0
2019,1,1,35.0,-92.0,31,0,4,0,406.0,4.0
2019,1,1,35.0,-91.0,4,0,1,0,51.0,1.0
2019,1,1,35.0,-90.0,60,0,11,0,635.0,11.0
2019,1,1,35.0,-89.0,4,0,1,0,10.0,1.0
2019,1,1,35.0,-88.0,34,0,3,0,143.0,3.0
2019,1,1,35.0,-87.0,21,0,4,0,161.0,4.0
2019,1,1,35.0,-86.0,17,0,7,0,610.0,7.0
2019,1,1,35.0,-85.0,63,1,7,0,513.0,7.0
2019,1,1,35.0,-84.0,47,0,4,0,336.0,4.0
2019,1,1,35.0,-83.0,48,0,14,0,1243.0,14.0
2019,1,1,35.0,-82.0,11,0,3,0,235.0,3.0
2019,1,1,35.0,-81.0,67,0,21,0,1323.0,21.0
2019,1,1,35.0,-80.0,44,2,9,0,856.0,9.0
2019,1,1,35.0,-79.0,133,2,28,0,2295.0,28.0
2019,1,1,35.0,-78.0,36,0,6,0,291.0,6.0
2019,1,1,35.0,-77.0,26,2,2,2,445.0,2.0
2019,1,1,36.0,-97.0,52,0,4,0,798.0,4.0
2019,1,1,36.0,-96.0,226,0,17,0,1205.0,17.0
2019,1,1,36.0,-95.0,61,0,4,0,451.0,4.0
2019,1,1,36.0,-94.0,74,0,6,0,670.0,6.0
2019,1,1,36.0,-91.0,3,1,1,1,273.0,1.0
2019,1,1,36.0,-89.0,15,0,3,0,286.0,3.0
2019,1,1,36.0,-88.0,104,0,15,0,737.0,15.0
2019,1,1,36.0,-87.0,45,0,10,0,738.0,10.0
2019,1,1,36.0,-86.0,1,0,1,0,28.0,1.0
2019,1,1,36.0,-85.0,7,0,2,0,29.0,2.0
2019,1,1,36.0,-84.0,6,0,1,0,75.0,1.0
2019,1,1,36.0,-83.0,12,0,3,0,140.0,3.0
2019,1,1,36.0,-82.0,27,0,9,0,716.0,9.0
2019,1,1,36.0,-81.0,43,0,9,0,693.0,9.0
2019,1,1,36.0,-80.0,35,0,8,0,946.0,8.0
2019,1,1,36.0,-79.0,38,0,3,0,335.0,3.0
2019,1,1,36.0,-78.0,1,0,1,0,33.0,1.0
2019,1,1,36.0,-77.0,3,0,1,0,16.0,1.0
2019,1,1,36.0,-76.0,5,0,2,0,116.0,2.0
2019,1,1,37.0,-97.0,280,1,11,0,514.0,11.0
2019,1,1,37.0,-96.0,157,0,6,0,439.0,6.0
2019,1,1,37.0,-95.0,5,0,1,0,10.0,1.0
2019,1,1,37.0,-94.0,117,0,8,0,567.0,8.0
2019,1,1,37.0,-93.0,1,0,1,0,23.0,1.0
2019,1,1,37.0,-92.0,33,2,6,0,495.0,6.0
2019,1,1,37.0,-91.0,113,3,10,0,306.0,10.0
2019,1,1,37.0,-90.0,276,1,19,1,1473.0,19.0
2019,1,1,37.0,-89.0,34,0,5,0,124.0,5.0
2019,1,1,37.0,-88.0,17,0,6,0,430.0,6.0
2019,1,1,37.0,-86.0,12,0,3,0,110.0,3.0
2019,1,1,37.0,-85.0,93,0,7,0,241.0,7.0
2019,1,1,37.0,-81.0,51,1,8,0,303.0,8.0
2019,1,1,37.0,-80.0,102,0,14,0,814.0,14.0
2019,1,1,37.0,-79.0,30,4,7,0,736.0,7.0
2019,1,1,37.0,-78.0,150,0,24,0,1677.0,24.0
2019,1,1,37.0,-77.0,69,0,13,0,1155.0,13.0
2019,1,1,37.0,-76.0,59,0,5,0,494.0,5.0
2019,1,1,38.0,-97.0,8,0,2,0,125.0,2.0
2019,1,1,38.0,-96.0,261,0,19,0,879.0,19.0
2019,1,1,38.0,-95.0,998,1,69,0,3317.0,69.0
2019,1,1,38.0,-94.0,47,0,3,0,140.0,3.0
2019,1,1,38.0,-93.0,116,1,18,0,919.0,18.0
2019,1,1,38.0,-92.0,39,0,4,0,258.0,4.0
2019,1,1,38.0,-91.0,522,12,52,1,6780.0,52.0
2019,1,1,38.0,-90.0,136,0,8,0,908.0,8.0
2019,1,1,38.0,-89.0,46,0,2,0,210.0,2.0
2019,1,1,38.0,-88.0,204,6,29,2,2114.0,29.0
2019,1,1,38.0,-87.0,76,0,8,0,1170.0,8.0
2019,1,1,38.0,-86.0,156,5,20,4,3279.0,20.0
2019,1,1,38.0,-85.0,11,0,6,0,813.0,6.0
2019,1,1,38.0,-83.0,17,1,7,0,333.0,7.0
2019,1,1,38.0,-82.0,11,0,1,0,300.0,1.0
2019,1,1,38.0,-81.0,19,0,4,0,66.0,4.0
2019,1,1,38.0,-80.0,112,0,12,0,1081.0,12.0
2019,1,1,38.0,-79.0,193,2,32,0,1673.0,32.0
2019,1,1,38.0,-78.0,525,9,75,0,4443.0,76.0
2019,1,1,38.0,-77.0,490,0,44,0,4599.0,49.0
2019,1,1,38.0,-76.0,94,12,23,2,1219.0,24.0
2019,1,1,38.0,-75.0,119,3,13,0,647.0,13.0
2019,1,1,39.0,-97.0,184,2,10,0,585.0,10.0
2019,1,1,39.0,-96.0,366,0,22,0,1142.0,22.0
2019,1,1,39.0,-95.0,584,1,30,0,1707.0,30.0
2019,1,1,39.0,-94.0,133,3,3,1,223.0,3.0
2019,1,1,39.0,-93.0,17,0,2,0,239.0,2.0
2019,1,1,39.0,-92.0,53,0,4,0,73.0,4.0
