YEAR,MONTH,DAY,LATITUDE,LONGITUDE,OBSERVATION COUNT,IBA CODE,BCR CODE,USFWS CODE,DURATION MINUTES,COUNT
2019,1,1,28.0,-83.0,49,0,9,0,621.0,9.0
2019,1,1,28.0,-82.0,370,0,26,0,1806.0,26.0
2019,1,1,28.0,-81.0,9,1,2,0,235.0,2.0
2019,1,1,29.0,-97.0,1,0,1,0,420.0,1.0
2019,1,1,29.0,-96.0,181,1,35,0,3648.0,35.0
2019,1,1,29.0,-95.0,21,0,5,4,326.0,5.0
2019,1,1,29.0,-94.0,35,4,3,3,286.0,4.0
2019,1,1,29.0,-91.0,66,1,4,0,306.0,4.0
2019,1,1,29.0,-90.0,1,0,1,0,45.0,1.0
2019,1,1,30.0,-97.0,25,0,3,0,202.0,3.0
2019,1,1,30.0,-96.0,41,0,6,0,480.0,6.0
2019,1,1,30.0,-95.0,12,0,1,0,26.0,1.0
2019,1,1,30.0,-94.0,28,0,2,0,42.0,2.0
2019,1,1,30.0,-93.0,10,0,2,1,105.0,2.0
2019,1,1,30.0,-92.0,13,0,3,0,260.0,3.0
2019,1,1,30.0,-90.0,9,0,3,1,300.0,3.0
2019,1,1,30.0,-89.0,11,1,3,0,123.0,3.0
2019,1,1,30.0,-85.0,38,2,3,2,380.0,3.0
2019,1,1,30.0,-82.0,79,0,15,0,601.0,15.0
2019,1,1,31.0,-96.0,1,0,1,0,762.0,1.0
2019,1,1,31.0,-95.0,1,0,1,0,488.0,1.0
2019,1,1,31.0,-86.0,21,2,6,2,794.0,6.0
2019,1,1,31.0,-85.0,8,0,3,0,162.0,3.0
2019,1,1,31.0,-82.0,32,0,2,0,242.0,2.0
2019,1,1,32.0,-97.0,479,0,26,0,1920.0,26.0
2019,1,1,32.0,-95.0,32,0,3,0,615.0,3.0
2019,1,1,32.0,-93.0,100,0,1,1,50.0,1.0
2019,1,1,32.0,-91.0,15,0,4,0,172.0,4.0
2019,1,1,32.0,-90.0,120,1,1,0,30.0,1.0
2019,1,1,32.0,-86.0,6,0,3,0,76.0,3.0
2019,1,1,32.0,-85.0,16,0,3,0,75.0,3.0
2019,1,1,32.0,-83.0,6,0,1,0,150.0,1.0
2019,1,1,32.0,-81.0,5,2,2,0,143.0,3.0
2019,1,1,32.0,-80.0,53,0,4,0,263.0,4.0
2019,1,1,33.0,-97.0,262,0,20,7,1156.0,20.0
2019,1,1,33.0,-95.0,8,0,2,0,205.0,2.0
2019,1,1,33.0,-89.0,79,3,4,3,234.0,4.0
2019,1,1,33.0,-87.0,21,0,2,0,176.0,2.0
2019,1,1,33.0,-86.0,19,0,1,0,75.0,1.0
2019,1,1,33.0,-85.0,123,0,24,0,1264.0,24.0
2019,1,1,33.0,-84.0,14,0,5,0,153.0,5.0
2019,1,1,33.0,-83.0,3,0,1,0,30.0,1.0
2019,1,1,33.0,-82.0,18,0,1,0,292.0,1.0
2019,1,1,33.0,-81.0,2,0,1,0,45.0,1.0
2019,1,1,33.0,-79.0,66,0,7,0,316.0,7.0
