YEAR,MONTH,DAY,LATITUDE,LONGITUDE,OBSERVATION COUNT,IBA CODE,BCR CODE,USFWS CODE,DURATION MINUTES,COUNT
2019,1,1,28.0,-83.0,67,0,25,0,2078.0,27.0
2019,1,1,28.0,-82.0,60,1,29,0,3102.0,29.0
2019,1,1,28.0,-81.0,10,6,9,1,795.0,9.0
2019,1,1,29.0,-97.0,4,0,3,0,496.0,3.0
2019,1,1,29.0,-96.0,42,0,21,0,2728.0,21.0
2019,1,1,29.0,-95.0,9,0,4,0,403.0,4.0
2019,1,1,29.0,-94.0,1,0,1,0,155.0,1.0
2019,1,1,29.0,-85.0,1,0,0,0,45.0,1.0
2019,1,1,29.0,-84.0,3,0,1,0,35.0,1.0
2019,1,1,29.0,-83.0,106,1,34,0,3426.0,34.0
2019,1,1,29.0,-82.0,23,1,12,0,480.0,12.0
2019,1,1,29.0,-81.0,2,0,1,0,32.0,1.0
2019,1,1,30.0,-97.0,8,0,5,0,406.0,5.0
2019,1,1,30.0,-96.0,25,0,14,0,1956.0,14.0
2019,1,1,30.0,-95.0,12,0,4,0,492.0,4.0
2019,1,1,30.0,-94.0,3,0,2,0,466.0,2.0
2019,1,1,30.0,-93.0,1,0,1,0,116.0,1.0
2019,1,1,30.0,-92.0,24,1,7,0,744.0,7.0
2019,1,1,30.0,-91.0,18,1,8,0,1167.0,8.0
2019,1,1,30.0,-90.0,7,0,5,0,412.0,5.0
2019,1,1,30.0,-89.0,6,0,4,0,244.0,5.0
2019,1,1,30.0,-88.0,27,0,12,0,903.0,12.0
2019,1,1,30.0,-87.0,12,1,2,0,244.0,4.0
2019,1,1,30.0,-86.0,4,0,0,0,30.0,1.0
2019,1,1,30.0,-85.0,42,0,20,0,1847.0,20.0
2019,1,1,30.0,-84.0,9,0,5,0,514.0,5.0
2019,1,1,30.0,-83.0,3,0,1,0,34.0,1.0
2019,1,1,30.0,-82.0,38,1,19,0,1568.0,20.0
2019,1,1,31.0,-96.0,5,0,2,0,803.0,2.0
2019,1,1,31.0,-95.0,33,0,9,0,1781.0,9.0
2019,1,1,31.0,-94.0,6,1,1,0,118.0,1.0
